8044234|735858278881|i7 4790|Intel||934923|$249.99|R|
8125515|735858286022|i5 4690K|Intel||937430|$235.99|R|
8125535|735858284837|Pentium G3258|Intel||937409|$66.99|R|
8133815|735858285490|i7 5820K|Intel||937407|$388.99|D|
8133825|735858285438|i7 5930K|Intel||937406|$578.99|R|
8133835|735858285278|i7 5960X|Intel||937405|$879.99|R|
8424968|735858298292|Pentium G3470|Intel||943019|$92.99|D|
8521659|735858301619|i7 6700K|Intel||947558|$348.99|R|
8521689|735858302166|i7 6700|Intel||947559|$349.99|R|
8521799|735858301077|i5 6600K|Intel||947560|$259.99|R|
8521809|735858301015|i5 6600|Intel||944461|$225.99|R|
8521819|735858301435|i5 6500|Intel||947562|$199.99|R|
8521829|735858301497|i5 6400|Intel||944464|$182.99|R|
8815102|735858318044|i7 6950X|Intel||950624|$1,699.99|R|
8815112|735858317627|i7 6800K|Intel||950627|$439.99|R|
8822232|735858317986|i7 6900K|Intel||950625|$1,099.99|R|
8822252|735858317689|i7 6850K|Intel||950626|$624.99|R|
8912743|735858305532|i3 6100|Intel||945911|$124.99|R|
8912763|735858305358|i3 6300|Intel||945908|$149.99|R|
8912773|735858306188|Pentium G4400|Intel||946002|$59.99|D|
9041227|735858326254|i5 7400|Intel||953681|$209.99|R|
9041237|735858326193|i5 7500|Intel||953683|$224.99|R|
9041247|735858326131|i5 7600|Intel||953682|$249.99|R|
9041257|735858326070|i5 7600K|Intel||953680|$269.99|R|
9041267|735858325899|i7 7700|Intel||953654|$339.99|R|
9041277|735858325837|i7 7700K|Intel||953655|$379.99|R|
9085637|735858329507|i3 7320|Intel||954808|$163.99|R|
9085647|735858329316|i3 7300|Intel||954809|$148.99|R|
9085657|735858330107|i3 7100|Intel||954811|$118.99|R|
9085667|735858329927|Pentium G4620|Intel||954813|$91.99|R|
9085677|735858330046|Celeron G3950|Intel||954815|$54.99|R|
9085697|735858329446|i3 7350K|Intel||954810|$178.99|R|
9197668||||||$99.99|R|
